Tipo Muert.,Zona,Subzona,Area del Hecho,Lugar,Fecha Infraccion,Tipo Arma,Presunta Motivacion Observacion,Sexo,Estado Civil,Nacionalidad,Instruccion
ASESINATO,ZONA 7,EL ORO,URBANO,VIA PUBLICA,2017-01-01,PISTOLA             ,EMOCIONAL,HOMBRE,SOLTERO,ECUADOR,INICIAL
ASESINATO,ZONA 7,EL ORO,URBANO,CASA/VILLA,2017-01-01,PISTOLA             ,EMOCIONAL,HOMBRE,CASADO,ECUADOR,BASICA
HOMICIDIO,ZONA 7,EL ORO,URBANO,VIA PUBLICA,2017-01-01,REVOLVER            ,ROBO A PERSONAS,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 1,SUCUMBIOS,URBANO,COVACHA/CHOZA,2017-01-01,REVOLVER            ,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2017-01-01,CUCHILLO            ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 2,ORELLANA,URBANO,CASA/VILLA,2017-01-01,REVOLVER            ,RIÑAS,HOMBRE,CASADO,ECUADOR,BASICA
FEMICIDIO,ZONA 8,D.M. GUAYAQUIL,URBANO,CASA/VILLA,2017-01-01,CUCHILLO            ,SENTIMENTAL,MUJER,DIVORCIADO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 4,MANABI,URBANO,VIA PUBLICA,2017-01-01,REVOLVER            ,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,PRIMARIA
FEMICIDIO,ZONA 9,D.M. QUITO,URBANO,CASA/VILLA,2017-01-03,CUCHILLO            ,SENTIMENTAL,MUJER,SOLTERO,ECUADOR,PRIMARIA
ASESINATO,ZONA 4,MANABI,RURAL,OTROS CENTROS DE DIVERSIÓN,2017-01-03,PISTOLA             ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 5,GUAYAS,URBANO,DEPARTAMENTO EN CASA O EDIFICIO,2017-01-02,PRENDA TEXTIL,AMENAZA,HOMBRE,CASADO,ECUADOR,SUPERIOR
ASESINATO,ZONA 6,CAÑAR,RURAL,VIA PUBLICA,2017-01-05,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BASICA
FEMICIDIO,ZONA 4,MANABI,RURAL,CASA/VILLA,2017-01-04,NINGUNA,SENTIMENTAL,MUJER,SOLTERO,ECUADOR,INICIAL
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2017-01-06,PISTOLA             ,EMOCIONAL,HOMBRE,SOLTERO,ECUADOR,SECUNDARIA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,CASA/VILLA,2017-01-06,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,ELEMENTAL
HOMICIDIO,ZONA 6,AZUAY,URBANO,PARQUES Y PLAZAS,2017-01-01,NINGUNA,RIÑAS,HOMBRE,CASADO,ECUADOR,PRIMARIA
FEMICIDIO,ZONA 4,MANABI,URBANO,CASA/VILLA,2017-01-07,NAVAJA,SENTIMENTAL,MUJER,SOLTERO,ECUADOR,SECUNDARIA
FEMICIDIO,ZONA 5,GUAYAS,URBANO,VIA PUBLICA,2017-01-07,CUCHILLO            ,SENTIMENTAL,MUJER,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 4,MANABI,RURAL,CASA/VILLA,2017-01-06,REVOLVER            ,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 4,MANABI,RURAL,CASA/VILLA,2017-01-06,REVOLVER            ,AMENAZA,MUJER,CASADO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 4,MANABI,URBANO,CASA/VILLA,2017-01-07,PISTOLA             ,TRAFICO INTERNACIONAL DE DROGA,HOMBRE,SOLTERO,ECUADOR,BASICA
HOMICIDIO,ZONA 4,MANABI,RURAL,CASA/VILLA,2017-01-08,CUCHILLO            ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 5,SANTA ELENA,URBANO,VIA PUBLICA,2017-01-08,OTRO,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2017-01-08,CORTO PUNZANTE,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
