Zona,Subzona,Canton,Presunta_Subinfraccion,Fecha_Detencion,Flagrante/Boleta,Sexo,Edad,Nacionalidad
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-03,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-03,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-03,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-03,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-03,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-03,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,ASESINATO,2016-01-03,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,ASESINATO,2016-01-03,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-03,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-03,SI,HOMBRE,36,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-03,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-03,SI,HOMBRE,47,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-03,SI,HOMBRE,44,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-03,SI,HOMBRE,28,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-03,SI,HOMBRE,43,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-03,NO,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-03,SI,HOMBRE,51,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-03,SI,HOMBRE,18,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-03,SI,HOMBRE,43,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-03,SI,HOMBRE,47,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-01-03,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-01-03,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-04,SI,HOMBRE,18,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-04,SI,HOMBRE,18,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-04,SI,MUJER,23,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-04,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-04,SI,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-04,SI,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-04,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-01-04,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-01-04,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-04,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-01-04,SI,HOMBRE,42,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-04,SI,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-04,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-04,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-04,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-04,SI,HOMBRE,39,FRANCIA
ZONA 9,DMQ,QUITO,ROBO A UNIDADES ECONOMICAS,2016-01-04,SI,MUJER,21,COLOMBIA
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-01-04,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-05,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-01-05,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-05,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-01-05,SI,MUJER,68,ECUADOR
