Zona,Subzona,Canton,Presunta_Subinfraccion,Fecha_Detencion,Flagrante/Boleta,Sexo,Edad,Nacionalidad
ZONA 9,DMQ,QUITO,VARIOS,2016-03-23,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,APROPIACION FRAUDULENTA POR MEDIOS ELECTRONICOS,2016-03-23,NO,HOMBRE,36,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-03-23,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,ESTAFA,2016-03-23,NO,MUJER,34,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-23,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-03-23,NO,HOMBRE,42,COLOMBIA
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-03-23,NO,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-23,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-03-23,NO,HOMBRE,57,COLOMBIA
ZONA 9,DMQ,QUITO,VARIOS,2016-03-23,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-03-24,SI,MUJER,24,COLOMBIA
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-24,SI,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-03-24,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-03-24,SI,MUJER,42,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-03-24,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-24,SI,HOMBRE,48,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-24,SI,HOMBRE,45,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-24,SI,HOMBRE,29,COLOMBIA
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-24,SI,HOMBRE,25,COLOMBIA
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-24,SI,HOMBRE,36,COLOMBIA
ZONA 9,DMQ,QUITO,HURTO,2016-03-24,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-03-24,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-24,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-24,SI,HOMBRE,18,ECUADOR
ZONA 9,DMQ,QUITO,ESTAFA,2016-03-24,NO,HOMBRE,31,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-24,SI,MUJER,18,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-24,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-24,SI,MUJER,18,ECUADOR
ZONA 9,DMQ,QUITO,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-24,SI,MUJER,23,ECUADOR
ZONA 9,DMQ,QUITO,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-24,SI,MUJER,44,ECUADOR
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-03-24,SI,HOMBRE,60,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-24,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-24,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-24,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-03-24,SI,HOMBRE,41,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-03-24,SI,MUJER,43,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-03-24,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-24,SI,MUJER,31,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-24,SI,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-24,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-24,SI,MUJER,64,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-24,SI,HOMBRE,31,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-24,SI,MUJER,25,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,42,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-25,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-25,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-25,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-25,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-25,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-25,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-25,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,34,COLOMBIA
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-25,SI,HOMBRE,37,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-25,SI,MUJER,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2016-03-25,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE VIOLACION,2016-03-25,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-03-25,SI,MUJER,25,CUBA
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-03-25,SI,HOMBRE,30,CUBA
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-25,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,44,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-25,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,MUJER,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-03-26,SI,HOMBRE,37,ECUADOR
ZONA 9,DMQ,QUITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2016-03-26,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2016-03-26,SI,MUJER,31,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,MUJER,43,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,MUJER,52,CUBA
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,MUJER,26,CUBA
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,MUJER,68,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,33,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,41,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-26,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-26,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-26,SI,MUJER,22,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-26,SI,MUJER,34,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-26,SI,HOMBRE,28,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-03-26,SI,HOMBRE,45,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,46,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-03-26,SI,MUJER,21,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-26,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-26,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-27,SI,HOMBRE,28,ECUADOR
ZONA 9,DMQ,QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-03-27,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-27,SI,HOMBRE,45,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-27,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-27,SI,MUJER,27,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-27,SI,MUJER,29,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-27,SI,HOMBRE,42,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-27,SI,HOMBRE,45,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-27,SI,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-27,SI,MUJER,34,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-03-27,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-27,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-27,SI,HOMBRE,58,ECUADOR
ZONA 9,DMQ,QUITO,HURTO,2016-03-27,SI,HOMBRE,36,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-27,SI,HOMBRE,37,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-27,SI,HOMBRE,41,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-27,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-27,SI,HOMBRE,60,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-27,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-03-27,SI,MUJER,53,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-28,SI,HOMBRE,41,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-03-28,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-03-28,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-28,SI,HOMBRE,40,ECUADOR
ZONA 9,DMQ,QUITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2016-03-28,SI,HOMBRE,32,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-28,SI,HOMBRE,30,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-03-28,SI,MUJER,18,COLOMBIA
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-03-28,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-28,SI,HOMBRE,31,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-28,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-28,SI,MUJER,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-28,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-03-28,SI,MUJER,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-29,SI,HOMBRE,39,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-29,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-29,SI,HOMBRE,45,COLOMBIA
ZONA 9,DMQ,QUITO,VARIOS,2016-03-29,SI,HOMBRE,31,ECUADOR
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-03-29,SI,HOMBRE,47,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-29,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-29,SI,HOMBRE,28,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-29,SI,HOMBRE,61,ECUADOR
ZONA 9,DMQ,QUITO,FEMICIDIO,2016-03-29,SI,HOMBRE,27,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-29,SI,HOMBRE,51,ECUADOR
ZONA 9,DMQ,QUITO,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-29,SI,HOMBRE,30,COLOMBIA
ZONA 9,DMQ,QUITO,VARIOS,2016-03-29,SI,HOMBRE,21,ECUADOR
ZONA 3,COTOPAXI,LATACUNGA,PLAGIO O SECUESTRO PERSONAS,2016-03-30,NO,HOMBRE,34,ECUADOR
ZONA 3,COTOPAXI,LATACUNGA,PLAGIO O SECUESTRO PERSONAS,2016-03-30,NO,MUJER,34,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-30,SI,HOMBRE,43,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-30,SI,HOMBRE,28,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-30,SI,HOMBRE,25,ECUADOR
ZONA 9,DMQ,QUITO,ACOSO SEXUAL,2016-03-30,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-30,SI,MUJER,23,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-30,SI,MUJER,54,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-30,SI,MUJER,59,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-30,SI,MUJER,23,COLOMBIA
ZONA 9,DMQ,QUITO,VARIOS,2016-03-30,SI,HOMBRE,38,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-03-30,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,TENTATIVA DE ROBO,2016-03-30,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,ATENTADO AL PUDOR,2016-03-30,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-30,SI,MUJER,20,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-30,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-30,SI,HOMBRE,64,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-30,SI,HOMBRE,20,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-30,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,REBELION Y ATENTADO,2016-03-30,SI,HOMBRE,26,ECUADOR
ZONA 9,DMQ,QUITO,ASOCIACION ILICITA,2016-03-31,NO,HOMBRE,33,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-31,SI,HOMBRE,38,COLOMBIA
ZONA 9,DMQ,QUITO,ATENTADO AL PUDOR,2016-03-31,SI,HOMBRE,64,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-31,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-31,SI,HOMBRE,39,ECUADOR
ZONA 9,DMQ,QUITO,ESTAFA,2016-03-31,SI,HOMBRE,58,ECUADOR
ZONA 9,DMQ,QUITO,ESTAFA,2016-03-31,SI,HOMBRE,59,ECUADOR
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-03-31,SI,MUJER,22,COLOMBIA
ZONA 9,DMQ,QUITO,ROBO DOMICILIO,2016-03-31,SI,HOMBRE,20,COLOMBIA
ZONA 9,DMQ,QUITO,HURTO,2016-03-31,SI,HOMBRE,33,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-03-31,SI,HOMBRE,18,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-31,SI,HOMBRE,37,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-03-31,SI,HOMBRE,43,ECUADOR
ZONA 9,DMQ,QUITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2016-03-31,SI,HOMBRE,30,COLOMBIA
ZONA 9,DMQ,QUITO,VARIOS,2016-03-31,SI,HOMBRE,35,ECUADOR
ZONA 9,DMQ,QUITO,FALSIFICACION,2016-03-31,SI,HOMBRE,52,PERU
ZONA 2,PICHINCHA,CAYAMBE,HURTO,2016-03-01,SI,HOMBRE,18,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,RECEPTACION,2016-03-02,SI,HOMBRE,19,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,ROBO DOMICILIO,2016-03-03,SI,HOMBRE,31,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,ROBO A PERSONAS,2016-03-16,SI,HOMBRE,29,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,VARIOS,2016-03-16,SI,HOMBRE,40,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,FALSIFICACION,2016-03-16,SI,HOMBRE,17,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,HURTO,2016-03-17,SI,MUJER,38,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,HURTO,2016-03-17,SI,MUJER,42,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,ROBO DOMICILIO,2016-03-17,SI,MUJER,21,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,ROBO DOMICILIO,2016-03-17,SI,HOMBRE,41,ECUADOR
ZONA 2,PICHINCHA,CAYAMBE,MICROTRAFICO,2016-03-23,SI,HOMBRE,48,ECUADOR
ZONA 2,PICHINCHA,MEJIA,FALSO TESTIMONIO/PERJURIO,2016-03-01,NO,HOMBRE,22,ECUADOR
ZONA 2,PICHINCHA,MEJIA,ESTUPRO,2016-03-15,NO,HOMBRE,27,ECUADOR
ZONA 2,PICHINCHA,MEJIA,HURTO,2016-03-17,SI,HOMBRE,24,ECUADOR
ZONA 2,PICHINCHA,MEJIA,HURTO,2016-03-17,SI,HOMBRE,24,ECUADOR
ZONA 2,PICHINCHA,MEJIA,VIOLACION,2016-03-17,NO,HOMBRE,36,ECUADOR
ZONA 2,PICHINCHA,MEJIA,VARIOS,2016-03-19,SI,HOMBRE,22,ECUADOR
ZONA 2,PICHINCHA,MEJIA,ROBO A PERSONAS,2016-03-20,SI,HOMBRE,21,ECUADOR
ZONA 2,PICHINCHA,MEJIA,ROBO A PERSONAS,2016-03-20,SI,HOMBRE,21,ECUADOR
ZONA 2,PICHINCHA,MEJIA,ROBO A PERSONAS,2016-03-20,SI,HOMBRE,20,ECUADOR
ZONA 2,PICHINCHA,MEJIA,REBELION Y ATENTADO,2016-03-26,SI,HOMBRE,49,ECUADOR
ZONA 2,PICHINCHA,MEJIA,VARIOS,2016-03-27,SI,HOMBRE,28,ECUADOR
ZONA 2,PICHINCHA,MEJIA,ROBO DOMICILIO,2016-03-30,SI,HOMBRE,32,COLOMBIA
ZONA 2,PICHINCHA,MEJIA,ROBO DOMICILIO,2016-03-30,SI,HOMBRE,25,COLOMBIA
ZONA 2,PICHINCHA,MEJIA,ROBO DOMICILIO,2016-03-30,SI,MUJER,22,ECUADOR
ZONA 2,PICHINCHA,PEDRO MONCAYO,MICROTRAFICO,2016-03-03,SI,HOMBRE,19,ECUADOR
ZONA 2,PICHINCHA,PEDRO MONCAYO,MICROTRAFICO,2016-03-03,SI,HOMBRE,17,ECUADOR
ZONA 2,PICHINCHA,PEDRO MONCAYO,ROBO EN EJES VIALES O CARRETERAS,2016-03-03,SI,HOMBRE,24,ECUADOR
ZONA 2,PICHINCHA,PEDRO MONCAYO,ROBO EN EJES VIALES O CARRETERAS,2016-03-03,SI,HOMBRE,23,ECUADOR
ZONA 2,PICHINCHA,PEDRO MONCAYO,ROBO EN EJES VIALES O CARRETERAS,2016-03-03,SI,HOMBRE,19,ECUADOR
ZONA 2,PICHINCHA,PEDRO MONCAYO,RECEPTACION,2016-03-10,SI,HOMBRE,50,ECUADOR
ZONA 2,PICHINCHA,PEDRO MONCAYO,MICROTRAFICO,2016-03-15,SI,HOMBRE,20,ECUADOR
ZONA 2,PICHINCHA,PEDRO MONCAYO,MICROTRAFICO,2016-03-31,SI,HOMBRE,28,ECUADOR
ZONA 2,PICHINCHA,PEDRO VICENTE MALDONADO,ROBO DOMICILIO,2016-03-10,SI,HOMBRE,21,ECUADOR
ZONA 2,PICHINCHA,PEDRO VICENTE MALDONADO,HERIDAS/LESIONES,2016-03-12,SI,HOMBRE,59,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,TENTATIVA DE ROBO,2016-03-03,SI,HOMBRE,28,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-03-07,SI,HOMBRE,52,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-03-07,SI,HOMBRE,33,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,RECEPTACION,2016-03-08,SI,MUJER,44,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,RECEPTACION,2016-03-08,SI,MUJER,33,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,RECEPTACION,2016-03-08,SI,HOMBRE,23,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,RECEPTACION,2016-03-08,SI,HOMBRE,25,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-03-20,SI,HOMBRE,28,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,HERIDAS/LESIONES,2016-03-20,SI,HOMBRE,47,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,HERIDAS/LESIONES,2016-03-20,SI,HOMBRE,53,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,RECEPTACION,2016-03-21,NO,HOMBRE,54,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,VARIOS,2016-03-22,NO,MUJER,37,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,RECEPTACION,2016-03-22,NO,HOMBRE,23,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,HURTO,2016-03-23,SI,HOMBRE,33,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,HURTO,2016-03-23,SI,HOMBRE,37,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-03-25,SI,HOMBRE,28,ECUADOR
ZONA 2,PICHINCHA,PUERTO QUITO,RECEPTACION,2016-03-28,NO,HOMBRE,25,ECUADOR
ZONA 2,PICHINCHA,RUMIÑAHUI,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-01,SI,HOMBRE,24,COLOMBIA
ZONA 2,PICHINCHA,RUMIÑAHUI,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-01,SI,HOMBRE,51,ECUADOR
ZONA 2,PICHINCHA,RUMIÑAHUI,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-01,SI,HOMBRE,36,ECUADOR
ZONA 2,PICHINCHA,RUMIÑAHUI,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-01,SI,HOMBRE,42,ECUADOR
ZONA 2,PICHINCHA,RUMIÑAHUI,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-01,SI,HOMBRE,26,ECUADOR
ZONA 2,PICHINCHA,RUMIÑAHUI,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-01,SI,HOMBRE,41,ECUADOR
ZONA 2,PICHINCHA,RUMIÑAHUI,TRAFICO/TENENCIA DE MONEDA FALSA,2016-03-01,SI,HOMBRE,27,COLOMBIA
ZONA 2,PICHINCHA,RUMIÑAHUI,ROBO DOMICILIO,2016-03-09,NO,MUJER,40,ECUADOR
ZONA 2,PICHINCHA,RUMIÑAHUI,ROBO DOMICILIO,2016-03-09,NO,HOMBRE,36,ECUADOR
ZONA 3,TUNGURAHUA,AMBATO,ROBO DOMICILIO,2016-03-09,NO,HOMBRE,31,ECUADOR
ZONA 2,PICHINCHA,RUMIÑAHUI,ROBO DOMICILIO,2016-03-14,SI,HOMBRE,28,ECUADOR
ZONA 2,PICHINCHA,SAN MIGUEL DE LOS BANCOS,VIOLACION,2016-03-11,SI,HOMBRE,15,ECUADOR
ZONA 2,PICHINCHA,SAN MIGUEL DE LOS BANCOS,VIOLACION,2016-03-17,NO,HOMBRE,37,ECUADOR
ZONA 2,PICHINCHA,SAN MIGUEL DE LOS BANCOS,ROBO A PERSONAS,2016-03-17,NO,HOMBRE,31,ECUADOR
ZONA 2,PICHINCHA,SAN MIGUEL DE LOS BANCOS,VIOLACION,2016-03-17,NO,HOMBRE,38,ECUADOR
ZONA 2,PICHINCHA,SAN MIGUEL DE LOS BANCOS,VARIOS,2016-03-31,NO,HOMBRE,35,ECUADOR
ZONA 8,DMG,GUAYAQUIL,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-03-01,SI,HOMBRE,19,ECUADOR
ZONA 8,DMG,GUAYAQUIL,TENENCIA ILEGAL ARMAS/EXPLOSIVOS,2016-03-01,SI,HOMBRE,21,ECUADOR
ZONA 8,DMG,GUAYAQUIL,OTROS ROBOS,2016-03-01,NO,HOMBRE,23,ECUADOR
