Tipo Muert.,Zona,Subzona,Area del Hecho,Lugar,Fecha Infraccion,Tipo Arma,Presunta Motivacion Observacion,Sexo,Estado Civil,Nacionalidad,Instruccion
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2016-01-01,CUCHILLO            ,ROBO A PERSONAS,HOMBRE,CASADO,ECUADOR,BACHILLERATO
HOMICIDIO,ZONA 5,LOS RIOS,RURAL,VIA PUBLICA,2016-01-01,MACHETE             ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 7,EL ORO,URBANO,VIA PUBLICA,2016-01-01,CUCHILLO            ,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 4,MANABI,RURAL,VIA PUBLICA,2016-01-01,CARTUCHERA          ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 5,LOS RIOS,URBANO,CASA/VILLA,2016-01-01,PISTOLA             ,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
HOMICIDIO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2016-01-01,REVOLVER            ,RIÑAS,HOMBRE,CASADO,ECUADOR,PRIMARIA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2016-01-01,PISTOLA             ,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 1,IMBABURA,RURAL,VIA PUBLICA,2016-01-01,OTRO,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
FEMICIDIO,ZONA 5,GUAYAS,RURAL,VIA PUBLICA,2016-01-01,REVOLVER            ,SENTIMENTAL,MUJER,SOLTERO,ECUADOR,PRIMARIA
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2016-01-01,CUCHILLO            ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,INICIAL
ASESINATO,ZONA 5,SANTA ELENA,RURAL,VIA PUBLICA,2016-01-02,OTRO,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2016-01-01,CORTO PUNZANTE,RIÑAS,HOMBRE,SOLTERO,ECUADOR,BASICA
HOMICIDIO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2016-01-02,CUCHILLO            ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
ASESINATO,ZONA 5,LOS RIOS,RURAL,CASA/VILLA,2016-01-01,PISTOLA             ,AMENAZA,HOMBRE,SOLTERO,ECUADOR,SECUNDARIA
ASESINATO,ZONA 5,GUAYAS,URBANO,VIA PUBLICA,2016-01-02,REVOLVER            ,SENTIMENTAL,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 1,ESMERALDAS,URBANO,RIO,2016-01-01,NINGUNA,EMOCIONAL,MUJER,NO DETERMINADO,FRANCIA                                           ,
HOMICIDIO,ZONA 3,CHIMBORAZO,URBANO,CASA/VILLA,2016-01-03,ROCA,RIÑAS,HOMBRE,CASADO,ECUADOR,BASICA
FEMICIDIO,ZONA 5,LOS RIOS,URBANO,CASA/VILLA,2016-01-03,PISTOLA             ,SENTIMENTAL,MUJER,DIVORCIADO,ECUADOR,BACHILLERATO
FEMICIDIO,ZONA 5,LOS RIOS,URBANO,CASA/VILLA,2016-01-03,PISTOLA             ,SENTIMENTAL,MUJER,CASADO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,INTERIOR DE VEHICULO PARTICULAR,2016-01-04,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,PRIMARIA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2016-01-04,REVOLVER            ,RIÑAS,HOMBRE,SOLTERO,ECUADOR,PRIMARIA
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,RESTAURANTE,2016-01-05,PISTOLA             ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,BASICA
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,CASA/VILLA,2016-01-05,PISTOLA             ,RIÑAS,HOMBRE,CASADO,ECUADOR,PRIMARIA
ASESINATO,ZONA 4,SANTO DOMINGO DE LOS TSACHILAS,RURAL,FINCA,2016-01-06,REVOLVER            ,ROBO A DOMICILIOS,HOMBRE,CASADO,ECUADOR,BACHILLERATO
ASESINATO,ZONA 3,COTOPAXI,RURAL,QUEBRADAS,2016-01-04,OBJETO CONTUSO,ROBO A PERSONAS,HOMBRE,SOLTERO,ECUADOR,PRIMARIA
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,TERRENO BALDIO,2016-01-06,PRENDA TEXTIL,ROBO A PERSONAS,HOMBRE,SOLTERO,ECUADOR,BASICA
